title,subtitle,release_date,length,keysig,tempo,label,remix,official,collaboration,anison,yt_id,license_info,link,art,spotify,apple_music,soundcloud,youtube,bandcamp,download
Shade Soul,,2021-11-5,234,F / Dm,140,Rushdown,false,true,false,false,true,,https://fanlink.tv/ShadeSoul,https://i1.sndcdn.com/artworks-wRsabA8RAgbReXWh-5yZnnw-t200x200.jpg,,,,,,
Vessel,,2021-11-5,228,E / C#m,140,Rushdown,false,true,false,false,true,,https://fanlink.tv/ShadeSoul,https://i1.sndcdn.com/artworks-wRsabA8RAgbReXWh-5yZnnw-t200x200.jpg,,,,,,
Good Night,Intro,2021-11-26,96,D# / Cm,100,Independent,false,true,false,false,true,,https://music.similaroutskirts.com/headspace-ep,https://i1.sndcdn.com/artworks-D2rGnM5m3uqhPjbN-B117xw-t200x200.jpg,,,,,,
Headspace,,2021-11-26,244,D# / Cm,150,Independent,false,true,false,false,true,,https://music.similaroutskirts.com/headspace-ep,https://i1.sndcdn.com/artworks-D2rGnM5m3uqhPjbN-B117xw-t200x200.jpg,,,,,,
Two Sides,,2021-11-26,248,B / G#m,150,Independent,false,true,false,false,true,,https://music.similaroutskirts.com/headspace-ep,https://i1.sndcdn.com/artworks-D2rGnM5m3uqhPjbN-B117xw-t200x200.jpg,,,,,,
Psycho Battle,,2021-11-26,242,A / F#m,150,Independent,false,true,false,false,true,,https://music.similaroutskirts.com/headspace-ep,https://i1.sndcdn.com/artworks-D2rGnM5m3uqhPjbN-B117xw-t200x200.jpg,,,,,,
Forgive Yourself,,2021-11-26,235,E / C#m,140,Independent,false,true,false,false,true,,https://music.similaroutskirts.com/headspace-ep,https://i1.sndcdn.com/artworks-D2rGnM5m3uqhPjbN-B117xw-t200x200.jpg,,,,,,
We Don't Play,Remix w/ Rushdown,2021-12-17,347,G / Em,150,Disciple,true,true,true,false,true,,https://disc.fanlink.tv/TSBRCOAT,https://i1.sndcdn.com/artworks-BHdtdOpCK9iq4cfP-izmVPQ-t200x200.jpg,,,,,,
We,w/ Winamp Boys,2021-12-24,222,G# / Fm,175,Independent,false,true,true,false,true,,https://winamp.fanlink.tv/we,https://i1.sndcdn.com/artworks-57hfcGYzRvvN0Z0C-Paz1Dg-t200x200.jpg,,,,,,
Hold On,,2022-1-28,212,E / C#m,150,Rushdown,false,true,false,false,true,,https://fanlink.tv/CBv3,https://i1.sndcdn.com/artworks-knupXkVX5BfYBlgx-ismRCw-t200x200.jpg,,,,,,
Choreography,Chill Mix,2022-2-16,155,C# / A#m,105,Independent,false,true,false,false,false,,https://music.similaroutskirts.com/moto1,https://i1.sndcdn.com/artworks-tVLiiWLMURuIi9zy-KKktwQ-t200x200.jpg,,,,,,
Headspace,Chill Mix,2022-2-16,197,D / Bm,90,Independent,false,true,false,false,false,,https://music.similaroutskirts.com/moto1,https://i1.sndcdn.com/artworks-tVLiiWLMURuIi9zy-KKktwQ-t200x200.jpg,,,,,,
Crescent,Chill Mix,2022-2-16,220,A / F#m,110,Independent,false,true,false,false,false,,https://music.similaroutskirts.com/moto1,https://i1.sndcdn.com/artworks-tVLiiWLMURuIi9zy-KKktwQ-t200x200.jpg,,,,,,
Shade Soul,Chill Mix,2022-2-16,177,F / Dm,100,Independent,false,true,false,false,false,,https://music.similaroutskirts.com/moto1,https://i1.sndcdn.com/artworks-tVLiiWLMURuIi9zy-KKktwQ-t200x200.jpg,,,,,,
Visionary,Similar Outskirts Remix,2022-3-16,279,A / F#m,128,Heaven Sent,true,true,false,false,true,,https://heavensent.ffm.to/unityremixes,https://i1.sndcdn.com/artworks-e54eIfcgP2Qj7Ben-jCkitA-t200x200.jpg,,,,,,
Blossom,Similar Outskirts Remix,2022-6-9,287,G# / Fm,150,Proximity,true,true,false,false,true,,https://proximity.ffm.to/memorygardenremix,https://i1.sndcdn.com/artworks-a5D6hbJCdZyjfNDk-CeYuuA-t200x200.jpg,,,,,,
Taking Control,,2022-6-30,251,A# / Gm,145,Independent,false,true,false,false,false,,https://music.similaroutskirts.com/taking-control,https://i1.sndcdn.com/artworks-nvcazJzXmOyJBpS8-zwgV7Q-t200x200.jpg,,,,,,
Crimson,,2022-7-28,255,F / Dm,140,Independent,false,true,false,false,false,,https://music.similaroutskirts.com/crimson,https://i1.sndcdn.com/artworks-zbjzuYPna7wVJrD6-GKyiwA-t200x200.jpg,,,,,,
Dreamer,,2022-8-17,151,F / Dm,128,FORM,false,true,false,false,true,,https://anv7.artbyform.com,https://i1.sndcdn.com/artworks-yDJ5VK1UxnpueLVD-8IJb5w-t200x200.jpg,,,,,,
Sky Warrior,,2022-9-8,215,G / Em,145,Independent,false,true,false,false,false,,https://music.similaroutskirts.com/sky-warrior,https://i1.sndcdn.com/artworks-EJCDEyZV6Zh60xrl-sqyzOg-t200x200.jpg,,,,,,
Nightmare,,2022-10-13,247,F / Dm,128,Independent,false,true,false,false,false,,https://music.similaroutskirts.com/nightmare,https://i1.sndcdn.com/artworks-MLczAONLylUq2LiV-4kj3mQ-t200x200.jpg,,,,,,
Hometown,Intro,2022-11-11,137,A# / Gm,100,Independent,false,true,false,false,false,,https://music.similaroutskirts.com/generations,https://i1.sndcdn.com/artworks-KJ0JjQMqaqTsVau8-w8pyNw-t200x200.jpg,,,,,,
Runelord,,2022-11-11,253,A# / Gm,128,Independent,false,true,false,false,false,,https://music.similaroutskirts.com/generations,https://i1.sndcdn.com/artworks-KJ0JjQMqaqTsVau8-w8pyNw-t200x200.jpg,,,,,,
Pictomancer,,2022-11-11,250,A / F#m,128,Independent,false,true,false,false,false,,https://music.similaroutskirts.com/generations,https://i1.sndcdn.com/artworks-KJ0JjQMqaqTsVau8-w8pyNw-t200x200.jpg,,,,,,
Cherish,,2022-11-11,249,D / Bm,120,Independent,false,true,false,false,false,,https://music.similaroutskirts.com/generations,https://i1.sndcdn.com/artworks-KJ0JjQMqaqTsVau8-w8pyNw-t200x200.jpg,,,,,,
Farewell,Outro,2022-11-11,198,D / Bm,60,Independent,false,true,false,false,false,,https://music.similaroutskirts.com/generations,https://i1.sndcdn.com/artworks-KJ0JjQMqaqTsVau8-w8pyNw-t200x200.jpg,,,,,,
R.A.V.E.,Remix,2023-2-15,241,A / F#m,140,Independent,true,false,false,false,false,,https://soundcloud.com/similar-outskirts/rave-bootleg,https://i1.sndcdn.com/artworks-EZ9X2qESfJAYuUz1-yJo6Aw-t200x200.jpg,,,,,,
Shine,,2023-6-1,237,C# / A#m (+50ct),174,Independent,false,true,false,false,false,,https://music.similaroutskirts.com/shine,https://i1.sndcdn.com/artworks-r72yHkj3DPUly82J-UnObCg-t200x200.jpg,,,,,,
